restaurant_display,city,am_name,am_email
Ruyi Fast Food Chinese,Beograd,,
Avalica,Beograd,,
Fresh pasta box,Beograd,,
TRI LAFA,Beograd,,
Le Coin Bistrot Belgrade,Beograd,,
Super Palačinke,Beograd,,
Smash n Friends Burgers,Beograd,,
Vegetarian food,Beograd,,
Ekspres Restoran Lonac,Beograd,,
ARTIGANI La cucina Italiana & pizzeria,Beograd,,
 Sushi & Wine TRANSFORMART ,Beograd,,
Eat Healthy,Beograd,,
Breakfast,Beograd,,
Mr. Sač,Beograd,,
Flipz,Beograd,,
Pizzeria Ćoše,Beograd,,
Pasta House kod Garića,Beograd,,
St Mark's Place 1,Beograd,,
Flašice,Beograd,,
